"REF_DATE","GEO","DGUID","Area of residence","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018-01","Newfoundland and Labrador","2016A000210","France","Recreation and entertainment","Dollars","81","thousands","3","v1139469439","2.6.5","227","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","France","Transportation","Dollars","81","thousands","3","v1139469764","2.6.6","329","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","France","Other types of expenditures","Dollars","81","thousands","3","v1139470089","2.6.7","82","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Mexico","Total expenditures","Dollars","81","thousands","3","v1139468164","2.7.1","940","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Mexico","Accommodation","Dollars","81","thousands","3","v1139468489","2.7.2","320","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Mexico","Clothes and gifts","Dollars","81","thousands","3","v1139468814","2.7.3","103","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Mexico","Food and beverage","Dollars","81","thousands","3","v1139469139","2.7.4","170","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Mexico","Recreation and entertainment","Dollars","81","thousands","3","v1139469464","2.7.5","142","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Mexico","Transportation","Dollars","81","thousands","3","v1139469789","2.7.6","139","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Mexico","Other types of expenditures","Dollars","81","thousands","3","v1139470114","2.7.7","68","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","India","Total expenditures","Dollars","81","thousands","3","v1139468189","2.8.1","775","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","India","Accommodation","Dollars","81","thousands","3","v1139468514","2.8.2","320","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","India","Clothes and gifts","Dollars","81","thousands","3","v1139468839","2.8.3","110","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","India","Food and beverage","Dollars","81","thousands","3","v1139469164","2.8.4","154","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","India","Transportation","Dollars","81","thousands","3","v1139469814","2.8.6","124","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","India","Other types of expenditures","Dollars","81","thousands","3","v1139470139","2.8.7","67","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Germany","Total expenditures","Dollars","81","thousands","3","v1139468214","2.9.1","1214","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Germany","Accommodation","Dollars","81","thousands","3","v1139468539","2.9.2","474","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Germany","Clothes and gifts","Dollars","81","thousands","3","v1139468864","2.9.3","110","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Germany","Food and beverage","Dollars","81","thousands","3","v1139469189","2.9.4","186","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Germany","Recreation and entertainment","Dollars","81","thousands","3","v1139469514","2.9.5","140","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Germany","Transportation","Dollars","81","thousands","3","v1139469839","2.9.6","235","E","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Germany","Other types of expenditures","Dollars","81","thousands","3","v1139470164","2.9.7","68","D","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Australia","Total expenditures","Dollars","81","thousands","3","v1139468239","2.10.1","1052","B","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Australia","Accommodation","Dollars","81","thousands","3","v1139468564","2.10.2","385","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Australia","Clothes and gifts","Dollars","81","thousands","3","v1139468889","2.10.3","121","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Australia","Food and beverage","Dollars","81","thousands","3","v1139469214","2.10.4","182","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Australia","Recreation and entertainment","Dollars","81","thousands","3","v1139469539","2.10.5","135","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Australia","Transportation","Dollars","81","thousands","3","v1139469864","2.10.6","159","C","","","0"
"2018-01","Newfoundland and Labrador","2016A000210","Australia","Other types of expenditures","Dollars","81","thousands","3","v1139470189","2.10.7","68","D","","","0"
